Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,8098507,7,5,50,11607,20,0,7.142857143,6.094494002,7215,0,2321.4,3327.769794,1439.401114,1.4817546,736227.9091,1863101.343,6075462,4,8016239,1336039.833,2447736.518,6075462,165,83027,20756.75,40847.23003,82025,4,0,0,0,0,152,112,0.86435685,0.61739775,0,7215,897.1538462,2250.514898,5064817.308,0,0,0,0,1,0,0,0,0,971.9166667,7.142857143,2321.4,152,0,0,0,0,0,0,7,50,5,11607,256,229,5,20,1940002.0,0.0,1940002,1940002,6075462.0,0.0,6075462,6075462,DDoS
80,170061,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,68404.86649,47.04194377,24294.42857,63938.15585,169292,3,597,298.5,355.6747109,550,47,170013,42503.25,84526.16728,169292,3,0,0,0,0,72,112,17.64072891,29.40121486,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,94931,3,5,26,11601,20,0,8.666666667,10.26320288,7215,0,2320.2,2991.555649,122478.4317,84.27173421,13561.57143,31113.1597,83526,4,10989,5494.5,7764.739564,10985,4,94851,23712.75,40207.34665,83526,61,0,0,0,0,72,112,31.60190033,52.66983388,0,7215,1291.888889,2441.667076,5961738.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,8324787,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.882956645,0.480492774,2774929.0,4805672.827,8324042,319,8324787,2774929.0,4805672.827,8324042,319,0,0.0,0.0,0,0,0,0,0,0,80,0,0.480492774,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,745.0,0.0,745,745,8324042.0,0.0,8324042,8324042,DDoS
80,2039028,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.77031409,1.961719015,679676.0,1176521.503,2038206,251,2039028,679676.0,1176521.503,2038206,251,0,0.0,0.0,0,0,0,0,0,0,80,0,1.961719015,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,95902959,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,121.5499513,0.125126483,8718450.818,28500000.0,94800000,78,95900000,13700000.0,35800000.0,94800000,119,35761,11920.33333,19531.38025,34467,188,0,0,0,0,172,92,0.083417656,0.041708828,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,1080819.0,0.0,1080819,1080819,94800000.0,0.0,94800000,94800000,DDoS
80,83492894,8,7,56,11607,20,0,7.0,5.656854249,4380,0,1658.142857,1942.877285,139.6885345,0.179656008,5963778.143,21900000.0,82200000,1,83400000,11900000.0,31000000.0,82200000,1,92650,15441.66667,36304.57142,89525,18,0,0,0,0,172,152,0.095816537,0.08383947,0,4380,729.3125,1491.866872,2225666.763,0,0,0,0,1,0,0,0,0,777.9333333,7.0,1658.142857,172,0,0,0,0,0,0,8,56,7,11607,256,229,6,20,1237999.0,0.0,1237999,1237999,82200000.0,0.0,82200000,82200000,DDoS
80,98977577,8,5,56,11601,20,0,7.0,5.656854249,4380,0,2320.2,2207.341206,117.77415,0.13134288,8248131.417,25000000.0,86900000,3,99000000,14100000.0,32400000.0,86900000,3,29267,7316.75,9853.967606,21264,49,0,0,0,0,172,112,0.080826388,0.050516492,0,4380,833.0714286,1679.986285,2822353.918,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,6050.0,0.0,6050,6050,49500000.0,52900000.0,86900000,12000000,DDoS
80,32911,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,353286.1353,212.6948437,5485.166667,8507.651883,19665,28,13024,6512.0,8513.565645,12532,492,32846,10948.66667,9894.243899,19665,194,0,0,0,0,72,92,91.154933,121.5399107,0,10135,1453.375,3544.652026,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,507873,3,6,26,11601,20,0,8.666666667,10.26320288,2920,0,1933.5,1495.722401,22893.51866,17.72096567,63484.125,165173.7091,471101,49,35970,17985.0,25365.33445,35921,49,507756,101551.2,207162.418,471101,64,0,0,0,0,72,132,5.906988558,11.81397712,0,2920,1162.7,1494.366611,2233131.567,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
