Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,478747,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,24298.84678,18.79907341,59843.375,168924.5146,477910,3,663,331.5,464.5691552,660,3,478619,95723.8,213648.7257,477910,3,0,0,0,0,72,132,6.266357805,12.53271561,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,7220339,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.154929568,0.692488261,1805084.75,3609590.167,7219470,233,7220339,1805084.75,3609590.167,7219470,233,0,0.0,0.0,0,0,0,0,0,0,100,0,0.692488261,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,869.0,0.0,869,869,7219470.0,0.0,7219470,7219470,DDoS
80,1802746,2,4,20,11601,20,0,10.0,14.14213562,8760,0,2900.25,4128.319301,6446.276957,3.328255894,360549.2,804009.0436,1798802,11,3472,3472.0,0.0,3472,3472,1802735,600911.6667,1037404.605,1798802,425,0,0,0,0,52,92,1.109418631,2.218837263,0,8760,1660.142857,3303.602601,10900000.0,0,0,0,1,0,0,0,0,2,1936.833333,10.0,2900.25,52,0,0,0,0,0,0,2,20,4,11601,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,893359,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,13021.6408,8.954966592,127622.7143,337263.794,892465,6,623,311.5,371.2310601,574,49,893313,223328.25,446091.2501,892465,6,0,0,0,0,72,112,3.358112472,5.59685412,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,649116,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,17921.29604,10.78389687,108186.0,264538.1265,648172,6,886,443.0,390.3229432,719,167,649016,216338.6667,373978.8682,648172,6,0,0,0,0,72,92,4.621670087,6.162226782,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,78481189,9,5,62,11601,20,0,6.888888889,5.30199124,8760,0,2320.2,3668.897,148.6088596,0.178386696,6037014.538,20000000.0,72500000,1,78400000,9801223.125,25400000.0,72500000,1,88321,22080.25,33424.68241,70763,185,0,0,0,0,192,112,0.114677162,0.063709534,0,8760,777.9333333,2262.786603,5120203.21,0,0,0,0,1,0,0,0,0,833.5,6.888888889,2320.2,192,0,0,0,0,0,0,9,62,5,11601,256,229,7,20,6.0,0.0,6,6,39200000.0,47000000.0,72500000,5937851,DDoS
80,1375514,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,17.44802307,2.908003844,458504.6667,793490.8702,1374749,335,1375514,458504.6667,793490.8702,1374749,335,0,0.0,0.0,0,0,0,0,0,0,80,0,2.908003844,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,81077534,9,6,62,11607,20,0,6.888888889,5.30199124,5840,0,1934.5,2538.919278,143.923963,0.185008094,5791252.429,19800000.0,74300000,3,80600000,10100000.0,26100000.0,74300000,3,509615,101923.0,227274.2194,508483,14,0,0,0,0,192,132,0.111004856,0.074003237,0,5840,729.6875,1754.344767,3077725.563,0,0,0,0,1,0,0,0,0,778.3333333,6.888888889,1934.5,192,0,0,0,0,0,0,9,62,6,11607,256,229,7,20,1811.0,0.0,1811,1811,40300000.0,48200000.0,74300000,6221844,DDoS
80,1185174,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,9815.436383,6.750063704,169310.5714,446513.7494,1181906,4,2837,1418.5,2000.405084,2833,4,1185133,296283.25,590416.5453,1181906,160,0,0,0,0,72,112,2.531273889,4.218789815,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,2822965,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,10.62712432,1.771187386,705741.25,1410817.245,2821967,1,2822965,705741.25,1410817.245,2821967,1,0,0.0,0.0,0,0,0,0,0,0,100,0,1.771187386,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
